X,Y,FID,AMOSTRA,x,y,dap,h,hdom,g,volha,B3,B4,B5,B6,B7,B12,B2,B11,B8A,B8
610015,6937110,1,GO1,610015,6937110,15.081334999999999,22.543918000000001,26.433333330000000,0.619164000000000,202.018269500000000,0.02860,0.02780,0.04470,0.14900,0.20870,0.04200,0.02720,0.09980,0.24870,0.21120
610023,6937160,2,GO2,610023,6937160,14.340797000000000,20.891552000000001,23.800000000000001,0.575503000000000,178.951292300000010,0.02900,0.02890,0.04840,0.14480,0.20600,0.04220,0.02700,0.10000,0.24180,0.20760
610093,6937180,3,GO3,610093,6937180,14.118268000000000,21.206000000000000,23.899999999999999,0.638989000000000,201.434097500000010,0.02900,0.02980,0.04950,0.15010,0.21300,0.04620,0.02810,0.10900,0.25330,0.21050
610160,6937170,4,GO4,610160,6937170,14.287433000000000,20.710449000000001,23.985822590000001,0.572487000000000,176.374657000000010,0.02980,0.02730,0.04750,0.14270,0.20540,0.04450,0.02580,0.10650,0.24960,0.20880
610022,6937240,5,GO5,610022,6937240,14.211542000000000,20.786956000000000,24.006539109999999,0.525941000000000,161.105261200000000,0.02660,0.02710,0.04670,0.13890,0.19650,0.04030,0.02520,0.09350,0.23360,0.18730
610095,6937240,6,GO6,610095,6937240,14.112423000000000,21.021194000000001,23.656402669999999,0.497699000000000,153.012376300000000,0.03090,0.02980,0.05280,0.15480,0.21460,0.05030,0.02760,0.11740,0.25660,0.21880
610156,6937230,7,GO7,610156,6937230,14.395859000000000,21.073298999999999,24.633333329999999,0.453905000000000,140.384804600000000,0.03220,0.03240,0.05370,0.14770,0.21040,0.05430,0.02920,0.12770,0.25360,0.21090
610024,6937300,8,GO8,610024,6937300,14.992395999999999,21.780607000000000,24.899999999999999,0.602279000000000,192.743867700000010,0.02990,0.03110,0.04970,0.14480,0.20410,0.04750,0.02720,0.11090,0.24240,0.20070
610086,6937310,9,GO9,610086,6937310,12.445917000000000,19.490784000000001,26.933333330000000,0.412403000000000,120.068509800000000,0.02860,0.03080,0.04890,0.13040,0.17390,0.05500,0.02710,0.12240,0.21230,0.17770
610156,6937310,10,GO10,610156,6937310,14.941238999999999,21.355689999999999,23.452057050000001,0.498349000000000,153.722065200000000,0.02990,0.03380,0.05090,0.12940,0.17380,0.05370,0.02810,0.12350,0.20710,0.17230
610286,6937310,11,GO11,610286,6937310,14.065659000000000,20.733222000000001,24.600000000000001,0.577114000000000,181.431249100000000,0.02960,0.02930,0.04950,0.14730,0.21570,0.04460,0.02640,0.10680,0.25530,0.20780
610108,6937360,12,GO12,610108,6937360,15.316162000000000,21.121441000000001,23.985242530000001,0.662993000000000,203.999929000000010,0.02930,0.02910,0.04610,0.12000,0.16800,0.04420,0.02720,0.10190,0.20410,0.16820
610163,6937380,13,GO13,610163,6937380,15.298769000000000,21.685752999999998,25.500000000000000,0.600633000000000,189.080737900000000,0.02880,0.02940,0.04640,0.13950,0.19470,0.04410,0.02710,0.10210,0.22860,0.19910
610232,6937380,14,GO14,610232,6937380,13.625591999999999,21.692641999999999,27.033333330000001,0.507601000000000,166.735350000000010,0.03040,0.03070,0.04600,0.12830,0.18770,0.04180,0.02810,0.09160,0.21740,0.18520
610454,6937380,15,GO15,610454,6937380,14.791684000000000,21.086601999999999,24.842526710000001,0.649693000000000,204.944381999999990,0.02670,0.02660,0.04480,0.13330,0.19800,0.03920,0.02520,0.09430,0.22590,0.20230
610236,6937460,16,GO16,610236,6937460,14.203583999999999,21.917674999999999,25.433333330000000,0.529339000000000,172.235783800000010,0.02920,0.03020,0.04990,0.13850,0.19180,0.04770,0.02790,0.10870,0.23150,0.19100
610443,6937450,17,GO17,610443,6937450,14.777295000000001,21.183496999999999,24.933333330000000,0.584920000000000,181.770099399999990,0.02680,0.02650,0.04220,0.12440,0.17460,0.03780,0.02590,0.08810,0.20920,0.17630
610305,6937510,18,GO18,610305,6937510,13.596076000000000,21.768868000000001,28.333333329999999,0.461268000000000,152.825237399999990,0.02820,0.02930,0.04570,0.13260,0.17660,0.04380,0.02760,0.09790,0.21860,0.18330
610364,6937520,19,GO19,610364,6937520,14.761153000000000,21.712589000000001,23.647354060000001,0.592209000000000,184.543195599999990,0.02790,0.03080,0.04540,0.12340,0.16910,0.04090,0.02630,0.09560,0.20080,0.17070
610440,6937520,20,GO20,610440,6937520,13.763719000000000,21.519870999999998,25.399999999999999,0.464778000000000,148.099819999999990,0.03050,0.03370,0.05240,0.14730,0.20870,0.05090,0.02790,0.11670,0.24860,0.20900
610507,6937520,21,GO21,610507,6937520,14.544033000000001,22.461375000000000,27.066666670000000,0.600208000000000,197.573899200000000,0.03050,0.03300,0.05260,0.15300,0.21250,0.05130,0.02830,0.11820,0.25100,0.21560
610440,6937590,22,GO22,610440,6937590,14.284371000000000,21.913392999999999,24.100000000000001,0.601733000000000,189.561754699999990,0.02930,0.03140,0.04950,0.14180,0.20180,0.05230,0.02870,0.11920,0.23700,0.20370
610515,6937590,23,GO23,610515,6937590,13.190200000000001,21.618431000000001,26.433333330000000,0.489238000000000,158.244986100000010,0.03230,0.03480,0.05420,0.14910,0.20400,0.05500,0.02990,0.12810,0.24710,0.20290
610569,6937600,24,GO24,610569,6937600,14.185707000000001,22.611964000000000,27.199999999999999,0.573770000000000,192.236714100000000,0.02950,0.02810,0.04490,0.14140,0.19090,0.04570,0.02560,0.10650,0.22740,0.21010
610439,6937660,25,GO25,610439,6937660,13.612368000000000,20.452804000000000,22.777251130000000,0.464905000000000,138.749471800000010,0.03020,0.02830,0.05090,0.15430,0.21320,0.04860,0.02700,0.11560,0.25390,0.22000
610505,6937660,26,GO26,610505,6937660,13.134703999999999,20.131145000000000,22.645696040000001,0.498269000000000,145.519365200000010,0.03500,0.04060,0.05860,0.14910,0.20810,0.06390,0.03060,0.14250,0.25260,0.21120
610569,6937650,27,GO27,610569,6937650,13.341732000000000,21.529736000000000,25.899999999999999,0.506297000000000,161.755461999999990,0.03370,0.03800,0.06120,0.15450,0.20360,0.06890,0.03080,0.15100,0.24680,0.19840
610444,6937730,28,GO28,610444,6937730,13.905841000000001,20.985379999999999,23.268566600000000,0.577107000000000,176.573793200000010,0.03130,0.03240,0.05340,0.14510,0.20490,0.05690,0.02830,0.12710,0.24130,0.20580
610520,6937740,29,GO29,610520,6937740,11.795532000000000,19.100124999999998,22.933333330000000,0.423160000000000,121.831235600000000,0.02990,0.03530,0.05050,0.12190,0.16450,0.05450,0.02960,0.12280,0.19660,0.16250
610448,6937800,30,GO30,610448,6937800,12.183923000000000,18.988313000000002,23.079029370000001,0.477270000000000,136.843328799999990,0.03430,0.03890,0.05720,0.13390,0.18270,0.06350,0.03140,0.13640,0.21930,0.18650
